"","lea_street, City, lea_state, lea_zip","No_Match"
"504","951 West Snowflake Boulevard, Snowflake, AZ, 85937","Match","Non_Exact","951 SNOWFLAKE BLVD, SNOWFLAKE, AZ, 85937","-110.10348,34.513134","172691101","R"
"625","7575 East Main Street, Scottsdale, AZ, 85251","Match","Exact","7575 E MAIN ST, SCOTTSDALE, AZ, 85251","-111.91783,33.4931","128229619","R"
"505","3300 Sparrow Avenue, Flagstaff, AZ, 86004","Match","Exact","3300 SPARROW AVE, FLAGSTAFF, AZ, 86004","-111.60528,35.19879","189049793","R"
"626","HC 63 Box H, Winslow, AZ, 86047","No_Match"
"506","440 North Grande Avenue, Tucson, AZ, 85745","Match","Exact","440 N GRANDE AVE, TUCSON, AZ, 85745","-110.989296,32.22733","612568545","R"
"627","P.O. Box 98, Second Mesa, AZ, 86043","No_Match"
"507","13832 North 32nd Street, Phoenix, AZ, 85032","Match","Exact","13832 N 32ND ST, PHOENIX, AZ, 85032","-112.013275,33.61195","128185361","L"
"628","165 Kachina Drive, Sedona, AZ, 86336","Match","Exact","165 KACHINA DR, SEDONA, AZ, 86336","-111.81945,34.863052","159473979","R"
"508","1402 San Antonio Avenue, Douglas, AZ, 85607","Match","Exact","1402 SAN ANTONIO AVE, DOUGLAS, AZ, 85607","-109.53231,31.348673","120910395","L"
"629","Sedona, AZ Sedona is a city in Yavapai county, Arizona, Sedona, AZ, NA","No_Match"
"509","13644 North Sandario Road, Marana, AZ, 85653","Match","Exact","13644 N SANDARIO RD, MARANA, AZ, 85653","-111.216995,32.454212","121156023","R"
"630","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona, Phoenix, AZ, NA","No_Match"
"510","725 North Carpenter Drive, Oracle, AZ, 85623","Match","Exact","725 N CARPENTER DR, ORACLE, AZ, 85623","-110.76092,32.6079","129230505","L"
"631","1709 North Greenfield Road, Mesa, AZ, 85205","Match","Exact","1709 N GREENFIELD RD, MESA, AZ, 85205","-111.73616,33.446022","128838914","R"
"511","1226 West Osborn Road, Phoenix, AZ, 85013","Match","Exact","1226 W OSBORN RD, PHOENIX, AZ, 85013","-112.088264,33.487747","128206283","R"
"632","54255 Main Street, Seligman, AZ, 86337","Match","Exact","54255 MAIN ST, SELIGMAN, AZ, 86337","-112.87449,35.32952","159464198","R"
"512","14109 Chicken Springs Road, Wikieup, AZ, 85360","Match","Exact","14109 CHICKEN SPRINGS RD, WIKIEUP, AZ, 85360","-113.61606,34.705162","190361735","L"
"633","40 West Fort Lowell Road, Tucson, AZ, 85705","Match","Exact","40 W FORT LOWELL RD, TUCSON, AZ, 85705","-110.97256,32.264744","121167089","R"
"513","2504 South 91st Avenue, Tolleson, AZ, 85353","Match","Exact","2504 S 91ST AVE, TOLLESON, AZ, 85353","-112.25552,33.424152","243926135","L"
"634","53802 W US Hwy 80, Dateland, AZ, 85333","No_Match"
"514","6711 East 2nd Street, Prescott Valley, AZ, 86314","Match","Exact","6711 E 2ND ST, PRESCOTT VALLEY, AZ, 86314","-112.349236,34.58037","159539781","R"
"635","98 U.S. 160, Shonto, AZ, 86054","No_Match"
"515","500 South Navajo Drive, Page, AZ, 86040","No_Match"
"636","P.O. Box 7900, Shonto, AZ, 86054","No_Match"
"516","145 Leupp Road, Flagstaff, AZ, 86004","Match","Exact","145 LEUPP RD, FLAGSTAFF, AZ, 86004","-111.43008,35.226353","189072724","R"
"637","500 West Old Linden Road, Show Low, AZ, 85901","Match","Exact","500 W OLD LINDEN RD, SHOW LOW, AZ, 85901","-110.04757,34.256927","635837799","L"
